State,State_ID,Coal,Crude_Oil,Electricity,Fuel_Ethanol,Natural_Gas,RPP,Uranium,Grand_Total
Alabama,0,4,10,null,null,null,3959499,7248,3966761
Alaska,1,null,1091,null,null,null,44388658,24511,44414260
Arizona,2,312643,210834,null,null,null,3366305,2187,3891968
Arkansas,3,43770,31683,null,null,null,4965580,347915,5388948
California,4,2225104,28876,112409,128982,959,215056644,1946682,219499655
Colorado,5,9730,595,null,null,null,1887400,null,1897725
Connecticut,6,4191,26,195861,null,51210127,28602463,20595,80033264
Delaware,7,1137,null,null,null,null,34035750,11127,34048013
District of Columbia,8,null,null,null,null,null,201,null,201
Florida,9,1972263,114,337148,null,null,11134920,1099849,14544295
Georgia,10,38270,null,null,null,null,7772540,2665091,10475901
Hawaii,11,null,null,null,null,null,null,null,null
Idaho,12,null,56,null,null,28824,1720223,589203,2338306
Illinois,13,4126156,46425,null,184483,null,974438595,224997330,1203792989
Indiana,14,13367937,25721214,3929552,null,null,85339359,22787709,151145771
Iowa,15,2779,null,null,112481227,null,12433776,null,124917782
Kansas,16,27906,null,null,25168886,6360091,32343395,null,63900278
Kentucky,17,33854376,2929,null,null,null,22034078,66490,55957873
Louisiana,18,null,288547160,null,null,null,572755348,668762,861971270
Maine,19,11745,null,264818,1579080,203990700,3462237,null,209308580
Maryland,20,1352,18845,null,null,495,3861391,84146,3966229
Massachusetts,21,22413,38,4297949,11134,698262,3595336,19122873,27748005
Michigan,22,86819961,27062464,10337,78427,598492325,131114017,8489,843586020
Minnesota,23,8787677,2798059,295,97058216,1267484,1189365180,140423,1299417336
Mississippi,24,10593,70981,null,42905,null,16659351,12677,16796506
Missouri,25,55341692,2564,null,166527,null,12838770,29412008,97761562
Montana,26,53957,10,10458780,null,null,30663023,null,41175770
Nebraska,27,null,null,null,649451,165592248,25693522,null,191935221
Nevada,28,402,259,null,null,null,417544,null,418205
New Hampshire,29,null,2,null,47827,10041498,4141477,8108,14238912
New Jersey,30,1685473,15266,null,14056,21054421,99024124,2089157,123882498
New Mexico,31,85929,5,null,null,null,30041,799630,915605
New York,32,9854357,11163,811677,45773,347260227,99182310,171909,457337416
North Carolina,33,6132764,1,null,2857,null,4542480,3613,10681715
North Dakota,34,316820,1523019057,8849,85508229,4157388,1977317002,null,3590327345
Ohio,35,23704187,14580021,null,null,null,202597477,900873,241782558
Oklahoma,36,5062,17655,null,null,228,45448486,2031,45473463
Oregon,37,147117,4636,1310047,null,null,55720195,20,57182015
Pennsylvania,38,209222555,40446,null,2835,52,186373874,7973,395647734
Puerto Rico,39,null,null,null,null,null,29888,null,29888
Rhode Island,40,71,null,null,null,null,199864,null,199935
South Carolina,41,34527,1077,null,null,null,2512684,233,2548521
South Dakota,42,null,11,null,53575175,null,84391,30,53659607
Tennessee,43,719921,106367,null,1422048,null,8812237,409291,11469864
Texas,44,91670,5004637188,2684743,10839699,60001837,1610172187,115057,6688542380
U.S. Virgin Islands,45,null,null,null,null,null,9273569,null,9273569
Utah,46,12889504,1050353,null,null,null,5208855,null,19148712
Vermont,47,null,null,null,null,null,152782,null,152782
Virginia,48,9824628,843628,null,null,null,10034121,106421,20808798
Washington,49,1829469,9032884,165953921,75,3726685,365037131,1106632,546686798
West Virginia,50,197012794,null,null,null,null,30652734,null,227665527
Wisconsin,51,3414793,6477,null,83812720,null,47117745,null,134351734
Wyoming,52,3488,297,null,null,null,5911182,1078006,6992973
